,date,location,total_cases
333,2020-08-03,Argentina,196530.0
334,2020-08-03,Spain,297054.0
335,2020-08-04,Argentina,201906.0
336,2020-08-04,Spain,302814.0
337,2020-08-05,Argentina,206730.0
338,2020-08-05,Spain,305767.0
339,2020-08-06,Argentina,213522.0
340,2020-08-06,Spain,309855.0
341,2020-08-07,Argentina,220669.0
342,2020-08-07,Spain,314362.0
343,2020-08-08,Argentina,228182.0
344,2020-08-08,Spain,314362.0
345,2020-08-09,Argentina,235664.0
346,2020-08-09,Spain,314362.0
347,2020-08-10,Argentina,241798.0
348,2020-08-10,Spain,322980.0
349,2020-08-11,Argentina,246486.0
350,2020-08-11,Spain,326612.0
351,2020-08-12,Argentina,253855.0
352,2020-08-12,Spain,329784.0
353,2020-08-13,Argentina,260898.0
354,2020-08-13,Spain,337334.0
355,2020-08-14,Argentina,268561.0
356,2020-08-14,Spain,342813.0
357,2020-08-15,Argentina,276059.0
358,2020-08-15,Spain,342813.0
359,2020-08-16,Argentina,282424.0
360,2020-08-16,Spain,342813.0
361,2020-08-17,Argentina,289087.0
362,2020-08-17,Spain,359082.0
363,2020-08-18,Argentina,294556.0
364,2020-08-18,Spain,364196.0
365,2020-08-19,Argentina,299113.0
366,2020-08-19,Spain,370867.0
367,2020-08-20,Argentina,305953.0
368,2020-08-20,Spain,377906.0
369,2020-08-21,Argentina,312646.0
370,2020-08-21,Spain,386054.0
371,2020-08-22,Argentina,320871.0
372,2020-08-22,Spain,386054.0
373,2020-08-23,Argentina,329030.0
374,2020-08-23,Spain,386054.0
375,2020-08-24,Argentina,336789.0
376,2020-08-24,Spain,405436.0
377,2020-08-25,Argentina,342141.0
378,2020-08-25,Spain,412553.0
379,2020-08-26,Argentina,350854.0
380,2020-08-26,Spain,419849.0
381,2020-08-27,Argentina,359625.0
382,2020-08-27,Spain,429507.0
383,2020-08-28,Argentina,370175.0
384,2020-08-28,Spain,439286.0
385,2020-08-29,Argentina,380279.0
386,2020-08-29,Spain,439286.0
387,2020-08-30,Argentina,392009.0
388,2020-08-30,Spain,439286.0
389,2020-08-31,Argentina,401226.0
390,2020-08-31,Spain,462858.0
391,2020-09-01,Argentina,408413.0
392,2020-09-01,Spain,470973.0
393,2020-09-02,Argentina,417722.0
